"주소","사업장명"
"서울특별시 서대문구 창천동 57-41번지 ","한사발"
"서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점 2층 ","랑데자뷰 신촌유플렉스"
"서울특별시 서대문구 연희동 192-29번지 ","192-29"
"서울특별시 서대문구 대현동 54-1번지 무궁화상가아파트 ","블랙티드(이대점)"
"서울특별시 서대문구 대현동 53-31번지 ","폴 어반(Paul Urban)"
"서울특별시 서대문구 남가좌동 338-58번지 1층 ","테트리스찜닭 서대문점"
"서울특별시 서대문구 홍제동 292-72번지 1층 전체 ","카페가가"
"서울특별시 서대문구 충정로2가 115-13번지 2층 ","맷돌빈대떡"
"서울특별시 서대문구 냉천동 5-1번지 ","옐로우피자 서대문점"
"서울특별시 서대문구 남가좌동 338-6번지 (지상1층) ","오동술(남가좌점)"
"서울특별시 서대문구 대현동 110-1번지 지상1층 ","여름도 겨울"
"서울특별시 서대문구 대신동 111-14번지 지하1층~지상1층 ","헐리우드코리아 주식회사"
"서울특별시 서대문구 충정로2가 19-1번지 (지상1층) ","계동치킨"
"서울특별시 서대문구 충정로2가 192번지 서대문디오빌 101호 ","본가서대문족발"
"서울특별시 서대문구 홍제동 291-13번지 ","CAFE 라온"
"서울특별시 서대문구 연희동 81-22번지 1,2층 ","수빈떡갈비"
"서울특별시 서대문구 홍제동 188번지 ","삼(3)호선차이나"
"서울특별시 서대문구 연희동 188-50번지 ","씨비케이"
"서울특별시 서대문구 대신동 85번지 ","식탁 하늬솔점"
"서울특별시 서대문구 홍제동 300-10번지 2층 ","썸(SSUM)"
"서울특별시 서대문구 홍은동 346-2번지 1층 ","쥬씨&차얌 명지전문대점"
"서울특별시 서대문구 홍은동 48-195번지 ","(주)한근명당 본점 토종꺼먹돼지 전문점"
"서울특별시 서대문구 남가좌동 343-30번지 지층 ","성연마라탕"
"서울특별시 서대문구 남가좌동 385번지 DMC파크뷰자이 상가 403 404동 101호","지리산 꺼먹돼지"
"서울특별시 서대문구 남가좌동 385번지 DMC파크뷰자이 ","구포갈비"
"서울특별시 서대문구 홍은동 439-1번지 지하2층(홍은동아더프라임210호) ","굳새닭"
"서울특별시 서대문구 남가좌동 289-51번지 ","솔향기"
"서울특별시 서대문구 창천동 53-79번지 지하1층 ","뉴욕포차와치킨클럽"
"서울특별시 서대문구 냉천동 238번지 자상2층 ","달빛호프"
"서울특별시 서대문구 북가좌동 382-6번지 1층 ","작은공간"
"서울특별시 서대문구 북가좌동 329-7번지 ","원"
"서울특별시 서대문구 창천동 445번지 ","켈리인더볼(Cali in the Bowl)"
"서울특별시 서대문구 연희동 81-1번지 ","(주)우동카덴"
"서울특별시 서대문구 홍제동 286-1번지 ","카페 루"
"서울특별시 서대문구 창천동 13-27번지 1층 ","싸움의 고수"
"서울특별시 서대문구 연희동 190-4번지 1층 ","시오(본점)"
"서울특별시 서대문구 창천동 457번지 지층 ","타임트래블러파티"
"서울특별시 서대문구 남가좌동 350-6번지 2층 ","자매식당"
"서울특별시 서대문구 미근동 27-2번지 1층 ","서대문 원조 아바이 왕순대"
"서울특별시 서대문구 창천동 52-121번지 (지상1층) ","천하장사"
"서울특별시 서대문구 충정로2가 78-15번지 (지상1층) ","가정옥"
"서울특별시 서대문구 연희동 165-14번지 ","봄꽃김밥"
"서울특별시 서대문구 창천동 52-75번지 2층 ","번츠"
"서울특별시 서대문구 창천동 288번지 ","시장에 간 남자"
"서울특별시 서대문구 연희동 137-13번지 지하1층 ","다향 전통찻집"
"서울특별시 서대문구 홍은동 9-136번지 1층 ","민정네 숯불생선구이"
"서울특별시 서대문구 홍제동 315-31번지 ","홍화화 마라탕(紅火火)"
"서울특별시 서대문구 창천동 5-95번지 ","쭈대가 제육대가"
"서울특별시 서대문구 홍은동 9-337번지 ","다올감자탕, 곰탕"
"서울특별시 서대문구 홍은동 9-336번지 ","한양통닭"
"서울특별시 서대문구 연희동 542-14번지 1층 ","사천교칼국수"
"서울특별시 서대문구 북가좌동 372-3번지 1층, 우측 ","돼지띠"
